,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
7831,20230888588,274724,2013-04-02,11,5,4,901,378.42,3982.42,TeleShop
7840,45016751895,268991,2013-03-02,10,6,1,834,87.57,921.57,Flagship store
7850,34187621426,268786,2013-03-02,1,4,1,264,27.72,291.72,MBR
7868,14603262682,271468,2013-02-02,4,3,4,1244,522.48,5498.48,Flagship store
7887,7286887166,272926,2013-01-02,3,1,4,574,241.08,2537.08,TeleShop
7892,32263938079,270308,2013-01-02,4,2,4,1058,444.36,4676.36,MBR
7906,92801596984,272835,2013-01-02,1,1,3,1050,330.75,3480.75,Flagship store
7925,82258282007,274767,2013-01-31,11,6,1,1081,113.505,1194.505,TeleShop
7927,87814606648,267442,2013-01-31,3,5,5,311,163.275,1718.275,TeleShop
7933,12592642390,272074,2013-01-30,12,5,2,1131,237.51,2499.51,TeleShop
7934,54940053662,272532,2013-01-30,9,3,2,934,196.14,2064.14,TeleShop
7940,3911380230,273025,2013-01-30,12,6,3,247,77.805,818.805,e-Shop
7972,98772804255,267402,2013-01-29,10,6,3,1246,392.49,4130.49,e-Shop
7975,84923721354,274789,2013-01-29,12,5,1,1052,110.46,1162.46,TeleShop
8022,36207517913,268199,2013-01-26,11,5,4,327,137.34,1445.34,e-Shop
8058,72707988131,273174,2013-01-25,12,6,5,725,380.625,4005.625,Flagship store
8066,24836760542,271554,2013-01-24,12,5,4,1117,469.14,4937.14,MBR
8077,85304383206,271085,2013-01-24,7,5,1,769,80.745,849.745,e-Shop
8083,22085775740,274860,2013-01-23,2,6,1,1015,106.575,1121.575,TeleShop
8123,6978919874,272973,2013-01-21,12,6,2,1405,295.05,3105.05,e-Shop
8141,59372861388,271862,2013-01-20,8,3,4,1188,498.96,5250.96,MBR
8160,35875981944,271516,2013-01-19,12,5,3,96,30.24,318.24,e-Shop
8161,34898459689,275044,2013-01-19,4,3,5,820,430.5,4530.5,e-Shop
8165,36036521864,270018,2013-01-19,3,1,5,1188,623.7,6563.7,e-Shop
8171,96268797826,267374,2013-01-19,4,3,5,278,145.95,1535.95,MBR
8173,98042098358,271493,2013-01-19,4,1,3,352,110.88,1166.88,e-Shop
8195,11889207584,272045,2013-01-17,1,2,5,1237,649.425,6834.425,MBR
8204,23598708322,270974,2013-01-17,4,1,5,1016,533.4,5613.4,MBR
8220,22318292422,267576,2013-01-16,3,1,1,1218,127.89,1345.89,e-Shop
8230,67112886601,267818,2013-01-16,10,3,4,1498,629.16,6621.16,e-Shop
8231,72776299186,272874,2013-01-16,1,1,4,1044,438.48,4614.48,Flagship store
8282,57691411379,273031,2013-12-01,1,2,2,1360,285.6,3005.6,MBR
8289,12502804900,268025,2013-12-01,1,1,2,1107,232.47,2446.47,e-Shop
8290,3012778958,272953,2013-12-01,3,2,1,1003,105.315,1108.315,e-Shop
8302,11485449093,268087,2013-11-01,10,6,5,1466,769.65,8099.65,e-Shop
8303,34215573476,271227,2013-11-01,12,5,2,1241,260.61,2742.61,MBR
8304,48365025242,268781,2013-11-01,12,6,5,1447,759.675,7994.675,e-Shop
8305,50882933518,267084,2013-11-01,1,1,4,962,404.04,4252.04,TeleShop
8312,73898963640,272515,2013-11-01,1,2,5,1151,604.275,6359.275,Flagship store
8353,265535637,268931,2013-08-01,1,4,1,236,24.78,260.78,Flagship store
8354,45260483404,274544,2013-08-01,8,3,2,1080,226.8,2386.8,e-Shop
8357,53472252288,274993,2013-08-01,4,3,1,1267,133.035,1400.035,e-Shop
8359,18471486594,268718,2013-08-01,7,5,3,409,128.835,1355.835,TeleShop
8363,69455690597,267099,2013-08-01,1,4,3,228,71.82,755.82,TeleShop
8374,12527006678,271915,2013-07-01,3,1,4,835,350.7,3690.7,e-Shop
8382,39241801032,271249,2013-07-01,3,1,5,576,302.4,3182.4,MBR
8388,84950199555,274884,2013-07-01,4,4,5,255,133.875,1408.875,e-Shop
8392,74066117851,269935,2013-07-01,9,3,3,251,79.065,832.065,MBR
8445,18182920962,274706,2013-04-01,1,4,3,1491,469.665,4942.665,TeleShop
8462,84223164450,274149,2013-04-01,3,5,4,750,315.0,3315.0,MBR
8472,47264575101,267690,2013-03-01,2,6,4,541,227.22,2391.22,e-Shop
8504,47023726331,272938,2013-01-01,7,5,3,257,80.955,851.955,Flagship store
8520,71475736451,268566,2013-01-01,10,3,2,805,169.05,1779.05,Flagship store
8522,7576355995,268250,2012-12-31,4,1,5,1409,739.725,7784.725,Flagship store
8541,13878864427,269517,2012-12-30,8,3,5,804,422.1,4442.1,MBR
8547,36801262185,268490,2012-12-30,4,1,3,230,72.45,762.45,e-Shop
8606,63251224120,271381,2012-12-28,7,5,4,390,163.8,1723.8,MBR
8609,19994306462,272629,2012-12-27,12,6,4,1236,519.12,5463.12,e-Shop
8641,98598060543,271195,2012-12-26,11,5,5,1302,683.55,7193.55,Flagship store
8646,31338055672,268840,2012-12-25,9,3,1,1391,146.055,1537.055,e-Shop
8671,14909431266,267793,2012-12-24,5,3,2,1159,243.39,2561.39,MBR
8673,55284015378,271465,2012-12-24,4,2,4,201,84.42,888.42,e-Shop
8686,49094192988,272937,2012-12-23,4,1,2,147,30.87,324.87,Flagship store
8690,61656218788,273010,2012-12-23,10,5,4,1357,569.94,5997.94,e-Shop
8699,64946151016,275064,2012-12-23,3,1,3,1097,345.555,3636.555,MBR
8715,23309903578,267164,2012-12-22,8,3,2,1057,221.97,2335.97,e-Shop
8717,23419280870,269757,2012-12-22,8,3,4,1369,574.98,6050.98,e-Shop
8725,29850818552,267014,2012-12-21,3,2,5,1252,657.3,6917.3,MBR
8728,44308377187,271177,2012-12-21,12,6,5,720,378.0,3978.0,e-Shop
8757,4895958215,272963,2012-12-20,3,1,3,1095,344.925,3629.925,MBR
8766,85436683463,273851,2012-12-20,12,5,1,1374,144.27,1518.27,Flagship store
8775,48725742187,270899,2012-12-19,8,3,2,296,62.16,654.16,e-Shop
8790,26027545230,267088,2012-12-18,10,6,5,859,450.975,4745.975,MBR
8798,62111727921,274129,2012-12-18,12,5,4,444,186.48,1962.48,TeleShop
8799,38815420945,272207,2012-12-18,10,6,4,1466,615.72,6479.72,e-Shop
8801,3269493227,270541,2012-12-18,4,2,1,1416,148.68,1564.68,e-Shop
8808,84058194203,272992,2012-12-18,10,6,2,976,204.96,2156.96,MBR
8818,29718822277,272557,2012-12-17,11,6,2,130,27.3,287.3,e-Shop
8853,31011265698,268583,2012-12-15,11,6,3,92,28.98,304.98,e-Shop
8855,6709128065,269760,2012-12-15,11,5,5,657,344.925,3629.925,MBR
8861,86784422793,271862,2012-12-15,4,1,4,1331,559.02,5883.02,e-Shop
8873,48340112796,272349,2012-12-14,7,5,3,274,86.31,908.31,Flagship store
8897,8574754540,272427,2012-12-13,12,5,2,177,37.17,391.17,Flagship store
8905,66191296837,269211,2012-12-13,6,5,3,1434,451.71,4753.71,Flagship store
8932,45200059653,272155,2012-11-12,4,4,3,578,182.07,1916.07,MBR
8941,85260341989,273273,2012-11-12,7,5,4,410,172.2,1812.2,TeleShop
8981,87888257954,272436,2012-09-12,4,1,3,720,226.8,2386.8,MBR
8982,76147851229,269003,2012-09-12,1,1,5,678,355.95,3745.95,e-Shop
8995,72970653437,269747,2012-08-12,4,4,1,612,64.26,676.26,TeleShop
9010,8047741347,272031,2012-07-12,8,3,1,575,60.375,635.375,Flagship store
9012,59376732657,269269,2012-07-12,7,5,5,1390,729.75,7679.75,Flagship store
9041,56384325220,270951,2012-05-12,3,2,2,907,190.47,2004.47,TeleShop
9047,80771562218,270285,2012-05-12,8,3,3,147,46.305,487.305,TeleShop
9078,56886611099,274661,2012-03-12,11,5,2,1106,232.26,2444.26,e-Shop
9082,54727929487,269695,2012-03-12,12,5,3,1020,321.3,3381.3,e-Shop
9086,19990737997,268021,2012-03-12,11,5,4,1410,592.2,6232.2,e-Shop
9110,1103283476,272436,2012-02-12,4,3,3,629,198.135,2085.135,e-Shop
9120,89978391377,268672,2012-02-12,11,6,3,159,50.085,527.085,Flagship store
9129,25956499717,267671,2012-01-12,10,6,5,674,353.85,3723.85,e-Shop
9132,20018340168,272920,2012-01-12,12,6,5,1308,686.7,7226.7,e-Shop
9133,7048924015,267638,2012-01-12,3,5,2,1188,249.48,2625.48,TeleShop
9138,82443789894,270933,2012-01-12,3,2,3,198,62.37,656.37,e-Shop
9154,62862978980,267113,2012-11-30,8,3,2,796,167.16,1759.16,Flagship store
9196,31599631905,270598,2012-11-28,4,2,1,169,17.745,186.745,Flagship store
9219,19393843786,268137,2012-11-27,11,6,5,213,111.825,1176.825,e-Shop
9234,64844857891,270740,2012-11-27,1,4,4,733,307.86,3239.86,e-Shop
9235,77251864209,274868,2012-11-27,1,1,3,432,136.08,1432.08,e-Shop
9236,87182388672,270402,2012-11-27,8,3,5,641,336.525,3541.525,e-Shop
9242,21038009286,274329,2012-11-26,9,3,1,1122,117.81,1239.81,Flagship store
9246,10252531646,272558,2012-11-26,12,6,5,111,58.275,613.275,e-Shop
9259,38116528905,274938,2012-11-25,3,1,1,738,77.49,815.49,e-Shop
9261,5284309749,268453,2012-11-25,3,2,1,112,11.76,123.76,MBR
9269,93104455994,272726,2012-11-25,10,5,2,1334,280.14,2948.14,e-Shop
9274,91244240442,266864,2012-11-25,3,2,5,494,259.35,2729.35,e-Shop
9296,90242176544,272655,2012-11-24,10,5,2,646,135.66,1427.66,Flagship store
9306,29004770737,267286,2012-11-23,2,6,4,71,29.82,313.82,e-Shop
9321,74899069065,275208,2012-11-23,4,4,2,531,111.51,1173.51,e-Shop
9325,22520569987,274398,2012-11-22,7,5,1,1233,129.465,1362.465,e-Shop
9331,31861003025,271959,2012-11-22,6,5,2,1156,242.76,2554.76,e-Shop
9334,22956363366,267424,2012-11-22,3,5,4,180,75.6,795.6,TeleShop
9347,81231372378,270897,2012-11-22,4,1,4,151,63.42,667.42,MBR
9350,96048042976,270770,2012-11-22,1,1,5,1027,539.175,5674.175,MBR
9374,21201868038,267669,2012-11-20,11,6,1,1031,108.255,1139.255,MBR
9388,90229187167,269929,2012-11-20,11,6,5,589,309.225,3254.225,MBR
9399,44430957630,272194,2012-11-19,10,6,5,320,168.0,1768.0,e-Shop
9402,25109576509,269390,2012-11-19,10,3,5,1059,555.975,5850.975,e-Shop
9418,74602434930,269337,2012-11-19,12,5,4,686,288.12,3032.12,Flagship store
9421,63788690793,271893,2012-11-19,11,5,3,347,109.305,1150.305,e-Shop
9444,32511506570,267714,2012-11-17,4,4,5,610,320.25,3370.25,TeleShop
9447,37524677011,270280,2012-11-17,1,2,2,263,55.23,581.23,MBR
9448,9545752689,268334,2012-11-17,6,5,4,959,402.78,4238.78,TeleShop
9459,73947129790,272906,2012-11-17,5,3,5,421,221.025,2326.025,TeleShop
9461,80568523948,272415,2012-11-17,10,3,4,1095,459.9,4839.9,MBR
9504,96889854564,269862,2012-11-15,3,5,4,1408,591.36,6223.36,Flagship store
9509,6405096672,271009,2012-11-14,11,6,5,123,64.575,679.575,e-Shop
9514,24414693808,270123,2012-11-14,4,3,4,1077,452.34,4760.34,Flagship store
9541,51958445760,275122,2012-11-13,3,5,5,736,386.4,4066.4,e-Shop
9552,87896859908,275123,2012-11-13,1,4,1,1380,144.9,1524.9,MBR
9561,20979791732,271388,2012-12-11,7,5,3,643,202.545,2131.545,e-Shop
9564,55032993738,268992,2012-12-11,5,3,5,739,387.975,4082.975,TeleShop
9569,85366092947,268305,2012-12-11,3,2,2,1150,241.5,2541.5,MBR
9575,7350897086,270310,2012-11-11,4,4,3,317,99.855,1050.855,e-Shop
9647,35730311655,269433,2012-08-11,10,5,4,465,195.3,2055.3,e-Shop
9648,26326023111,273213,2012-08-11,10,3,5,982,515.55,5425.55,MBR
9651,37821537860,272756,2012-08-11,12,5,5,1020,535.5,5635.5,e-Shop
9654,55808347112,273383,2012-08-11,4,1,3,1127,355.005,3736.005,MBR
9659,37469223848,270786,2012-08-11,4,4,3,367,115.605,1216.605,MBR
9664,88255047490,273758,2012-08-11,4,3,4,857,359.94,3787.94,e-Shop
9674,25079230259,271318,2012-07-11,11,6,1,982,103.11,1085.11,TeleShop
9677,37513866609,268657,2012-07-11,6,5,4,76,31.92,335.92,e-Shop
9684,56464326773,267360,2012-06-11,3,5,5,959,503.475,5298.475,e-Shop
9696,97738507120,270922,2012-06-11,4,4,2,237,49.77,523.77,MBR
9719,75061936385,270005,2012-05-11,4,4,3,261,82.215,865.215,Flagship store
9726,40746409420,271583,2012-04-11,4,1,3,1018,320.67,3374.67,Flagship store
9734,50452849995,274468,2012-04-11,1,4,1,254,26.67,280.67,MBR
9741,95745244106,272902,2012-04-11,10,3,5,1185,622.125,6547.125,Flagship store
9754,37692043112,275157,2012-03-11,11,5,1,1062,111.51,1173.51,TeleShop
9764,97917071902,268368,2012-03-11,11,5,4,177,74.34,782.34,e-Shop
9777,25542655470,274708,2012-02-11,1,2,1,358,37.59,395.59,Flagship store
9784,61862969098,275000,2012-02-11,1,2,3,823,259.245,2728.245,MBR
9793,95778402780,273861,2012-02-11,12,5,5,715,375.375,3950.375,TeleShop
9817,65782231046,270568,2012-10-31,3,1,1,646,67.83,713.83,MBR
9842,58669042652,271816,2012-10-29,10,3,4,420,176.4,1856.4,MBR
9843,19242807973,267165,2012-10-29,1,1,3,1297,408.555,4299.555,TeleShop
9868,36490013127,274917,2012-10-28,5,3,4,255,107.1,1127.1,TeleShop
9884,75991761657,271169,2012-10-28,10,6,3,1136,357.84,3765.84,e-Shop
9885,81849077991,274655,2012-10-28,11,5,2,1436,301.56,3173.56,Flagship store
9889,53855440294,271496,2012-10-27,2,6,3,1491,469.665,4942.665,TeleShop
9893,33256662579,269629,2012-10-27,1,2,1,395,41.475,436.475,MBR
9903,97076302174,275042,2012-10-27,1,2,3,1410,444.15,4674.15,e-Shop
9904,93088859112,272584,2012-10-27,1,2,1,1168,122.64,1290.64,e-Shop
9910,7625526288,269270,2012-10-26,12,5,1,778,81.69,859.69,MBR
9920,38669144928,267943,2012-10-26,5,3,5,1087,570.675,6005.675,TeleShop
9982,90135381443,267361,2012-10-23,11,5,4,1231,517.02,5441.02,e-Shop
9985,85356038550,269911,2012-10-23,11,6,4,1325,556.5,5856.5,MBR
9993,56490484533,275162,2012-10-22,11,5,5,1134,595.35,6265.35,e-Shop
9997,25554803686,274014,2012-10-22,4,4,2,980,205.8,2165.8,TeleShop
10043,41516403948,275204,2012-10-20,11,6,2,324,68.04,716.04,MBR
10044,48727689115,270330,2012-10-20,4,3,4,1158,486.36,5118.36,TeleShop
10055,86546883501,267032,2012-10-20,7,5,1,648,68.04,716.04,TeleShop
10056,87229727122,274722,2012-10-20,9,3,4,1480,621.6,6541.6,e-Shop
10064,1855122890,270322,2012-10-19,5,3,4,156,65.52,689.52,e-Shop
10066,16375450124,273202,2012-10-19,1,4,2,441,92.61,974.61,Flagship store
10078,50672237319,274748,2012-10-18,4,3,1,93,9.765,102.765,MBR
10118,84024846956,274087,2012-10-17,4,4,3,118,37.17,391.17,Flagship store
10119,84775697313,270020,2012-10-17,3,5,3,1346,423.99,4461.99,Flagship store
10121,85467930445,274566,2012-10-17,6,5,1,913,95.865,1008.865,e-Shop
10129,5689574044,268600,2012-10-16,1,2,2,852,178.92,1882.92,e-Shop
10130,62612112025,269846,2012-10-16,4,3,2,622,130.62,1374.62,e-Shop
10131,24177114711,270309,2012-10-16,1,1,4,1073,450.66,4742.66,e-Shop
10141,13552452503,271278,2012-10-15,3,2,3,1379,434.385,4571.385,e-Shop
10154,69251043681,273909,2012-10-15,4,1,3,1246,392.49,4130.49,e-Shop
10161,68117662262,268090,2012-10-15,3,2,2,484,101.64,1069.64,e-Shop
10207,95369501742,269859,2012-10-13,4,4,1,394,41.37,435.37,e-Shop
10212,3171596266,270633,2012-12-10,12,5,2,1008,211.68,2227.68,e-Shop
10223,68886181758,266921,2012-12-10,2,6,1,117,12.285,129.285,MBR
10224,79993402328,272987,2012-12-10,10,5,4,256,107.52,1131.52,TeleShop
10228,97037129597,271827,2012-12-10,10,6,1,559,58.695,617.695,e-Shop
10238,8131501622,267580,2012-11-10,11,6,1,1294,135.87,1429.87,TeleShop
10257,66939595968,273532,2012-11-10,11,6,1,973,102.165,1075.165,e-Shop
10285,92421744558,272187,2012-10-10,6,5,1,329,34.545,363.545,MBR
10318,10498242288,275215,2012-08-10,1,2,4,482,202.44,2130.44,e-Shop
10333,76108542776,273662,2012-08-10,1,1,1,1255,131.775,1386.775,MBR
10337,58422555109,269739,2012-07-10,3,1,4,910,382.2,4022.2,MBR
10379,88672510797,274093,2012-06-10,4,2,5,1378,723.45,7613.45,MBR
10386,1551902938,273081,2012-05-10,4,2,3,880,277.2,2917.2,MBR
10387,3546261616,270150,2012-05-10,11,5,3,1484,467.46,4919.46,Flagship store
10393,29293751605,274644,2012-05-10,4,2,2,746,156.66,1648.66,Flagship store
10398,88842946711,274278,2012-05-10,12,5,2,133,27.93,293.93,TeleShop
10399,65819685922,269818,2012-05-10,7,5,4,736,309.12,3253.12,MBR
10405,27189675281,271897,2012-04-10,7,5,5,1129,592.725,6237.725,e-Shop
10417,68446080180,274652,2012-04-10,4,4,1,409,42.945,451.945,TeleShop
10424,32876880290,267715,2012-03-10,3,1,5,212,111.3,1171.3,Flagship store
10430,46573227481,267547,2012-03-10,12,5,5,442,232.05,2442.05,MBR
10433,49139670795,269118,2012-03-10,11,5,4,602,252.84,2660.84,MBR
10438,1300892127,268089,2012-02-10,3,1,1,1354,142.17,1496.17,MBR
10444,11896007074,269449,2012-02-10,1,1,3,242,76.23,802.23,e-Shop
10451,85861933577,269235,2012-02-10,7,5,1,234,24.57,258.57,e-Shop
10461,28603819998,271492,2012-01-10,1,2,4,1257,527.94,5555.94,TeleShop
10464,31268396292,269910,2012-01-10,1,1,4,921,386.82,4070.82,e-Shop
10465,40678283758,270036,2012-01-10,1,2,3,370,116.55,1226.55,e-Shop
10475,86774145479,269973,2012-01-10,1,2,3,218,68.67,722.67,MBR
10498,87355468841,272060,2012-09-30,4,4,5,1237,649.425,6834.425,e-Shop
10501,31316519688,274153,2012-09-29,4,3,3,1433,451.395,4750.395,e-Shop
10516,74145788377,272896,2012-09-29,6,5,3,470,148.05,1558.05,e-Shop
10572,30715330242,273075,2012-09-26,1,1,2,1107,232.47,2446.47,MBR
10573,38053958046,268490,2012-09-26,12,5,4,537,225.54,2373.54,e-Shop
10579,87301926204,272503,2012-09-26,7,5,5,372,195.3,2055.3,e-Shop
10593,26651285731,273796,2012-09-25,8,3,4,1091,458.22,4822.22,Flagship store
10595,93438842631,273954,2012-09-25,4,2,1,1385,145.425,1530.425,MBR
10597,84797005831,268421,2012-09-25,11,5,5,1178,618.45,6508.45,e-Shop
10613,66857694550,272555,2012-09-24,10,5,5,95,49.875,524.875,TeleShop
10620,61497359844,271851,2012-09-23,3,1,2,1011,212.31,2234.31,e-Shop
10628,59169253191,272079,2012-09-23,1,4,1,863,90.615,953.615,Flagship store
10630,95087944640,268892,2012-09-23,12,5,3,1401,441.315,4644.315,e-Shop
10635,66116846245,273420,2012-09-23,5,3,1,538,56.49,594.49,e-Shop
10651,81709318458,267158,2012-09-22,1,4,2,888,186.48,1962.48,MBR
10667,3705769203,271987,2012-09-21,5,3,3,1083,341.145,3590.145,e-Shop
10672,99046331274,272241,2012-09-21,5,3,4,378,158.76,1670.76,e-Shop
10678,3029500384,272120,2012-09-20,2,6,3,1497,471.555,4962.555,e-Shop
10683,59821938967,270320,2012-09-20,12,5,4,1030,432.6,4552.6,TeleShop
10684,14096266074,273077,2012-09-20,3,5,1,148,15.54,163.54,TeleShop
10695,79546724765,267734,2012-09-20,1,2,2,594,124.74,1312.74,Flagship store
10700,41834328141,270350,2012-09-19,1,4,3,877,276.255,2907.255,e-Shop
10738,36189032377,270684,2012-09-18,7,5,5,1435,753.375,7928.375,e-Shop
10779,97569306437,268651,2012-09-16,4,3,2,952,199.92,2103.92,TeleShop
10783,75674839238,269345,2012-09-16,4,4,1,1119,117.495,1236.495,TeleShop
10796,50104044382,273771,2012-09-15,1,4,2,677,142.17,1496.17,e-Shop
10798,28833994476,273195,2012-09-15,4,4,1,746,78.33,824.33,Flagship store
10805,89200535153,272002,2012-09-15,3,5,4,1320,554.4,5834.4,MBR
10829,83297713218,268495,2012-09-14,1,4,5,669,351.225,3696.225,Flagship store
10832,3169089998,271359,2012-09-13,10,5,5,772,405.3,4265.3,TeleShop
10838,33435722127,270824,2012-09-13,1,2,4,1163,488.46,5140.46,MBR
10840,24138108051,271031,2012-09-13,9,3,4,697,292.74,3080.74,TeleShop
10852,45424834607,274641,2012-12-09,11,5,5,646,339.15,3569.15,TeleShop
10858,11592930159,272985,2012-12-09,12,6,5,1208,634.2,6674.2,TeleShop
10860,38113433049,269636,2012-12-09,12,6,5,234,122.85,1292.85,MBR
10862,91456983452,274306,2012-12-09,11,5,3,309,97.335,1024.335,e-Shop
10880,70765700206,267522,2012-11-09,3,1,5,657,344.925,3629.925,MBR
10883,95523406151,273937,2012-11-09,8,3,5,483,253.575,2668.575,e-Shop
10888,56454025977,267269,2012-10-09,4,4,4,1339,562.38,5918.38,TeleShop
10907,66988200376,267117,2012-10-09,4,3,4,1126,472.92,4976.92,e-Shop
10927,95143035139,269392,2012-09-09,4,3,3,1353,426.195,4485.195,Flagship store
10952,57685095006,273478,2012-07-09,4,2,4,676,283.92,2987.92,TeleShop
10957,32537937507,267780,2012-07-09,9,3,4,1470,617.4,6497.4,TeleShop
10959,56316432549,270590,2012-07-09,10,3,3,1406,442.89,4660.89,Flagship store
10960,17754674784,274665,2012-07-09,3,2,3,120,37.8,397.8,MBR
10970,63981520035,268930,2012-07-09,5,3,1,1070,112.35,1182.35,TeleShop
10972,1631349777,273922,2012-06-09,3,1,3,976,307.44,3235.44,TeleShop
11026,13834233237,273270,2012-04-09,10,6,1,1111,116.655,1227.655,TeleShop
11048,47973159517,269143,2012-03-09,10,6,5,822,431.55,4541.55,e-Shop
11069,35468578131,267296,2012-02-09,6,5,1,622,65.31,687.31,e-Shop
11120,77772352678,267125,2012-08-31,1,1,5,416,218.4,2298.4,MBR
11124,78186625527,271460,2012-08-31,6,5,4,1146,481.32,5065.32,MBR
11133,17852484526,273346,2012-08-30,1,2,3,1203,378.945,3987.945,e-Shop
11138,34239069179,267273,2012-08-30,9,3,3,479,150.885,1587.885,MBR
11153,75671068788,272416,2012-08-30,10,3,5,1148,602.7,6342.7,MBR
11164,13407077428,271418,2012-08-29,12,6,4,258,108.36,1140.36,e-Shop
11172,87158802240,271797,2012-08-29,1,4,3,571,179.865,1892.865,Flagship store
11180,50232945649,272532,2012-08-28,9,3,4,1202,504.84,5312.84,Flagship store
11186,12734582770,274367,2012-08-28,6,5,2,797,167.37,1761.37,MBR
11195,96827906194,270773,2012-08-28,3,2,4,1093,459.06,4831.06,e-Shop
11201,17543401070,273070,2012-08-27,3,1,1,1162,122.01,1284.01,TeleShop
11202,47268844205,272896,2012-08-27,2,6,1,789,82.845,871.845,TeleShop
11218,88243631447,271222,2012-08-27,6,5,2,783,164.43,1730.43,e-Shop
11228,31729113269,269570,2012-08-26,10,3,1,269,28.245,297.245,Flagship store
11247,42219352593,269852,2012-08-25,10,5,2,1372,288.12,3032.12,TeleShop
11254,62847416507,268674,2012-08-25,4,1,4,1120,470.4,4950.4,Flagship store
11260,81304829629,270503,2012-08-25,4,2,1,223,23.415,246.415,Flagship store
11279,42255136382,270202,2012-08-24,12,5,4,841,353.22,3717.22,e-Shop
11297,32182345041,268860,2012-08-23,2,6,3,1172,369.18,3885.18,MBR
11333,61190023282,275151,2012-08-21,12,6,2,651,136.71,1438.71,Flagship store
11345,85491543253,268393,2012-08-21,4,1,2,365,76.65,806.65,MBR
11354,80402818784,272222,2012-08-21,3,1,1,418,43.89,461.89,MBR
11355,21865170386,274824,2012-08-20,10,6,2,341,71.61,753.61,e-Shop
11362,52665853682,268284,2012-08-20,3,5,4,153,64.26,676.26,TeleShop
11384,38702800191,268593,2012-08-19,1,2,3,757,238.455,2509.455,e-Shop
11391,81704904030,269708,2012-08-19,3,5,3,1438,452.97,4766.97,e-Shop
11401,45888334809,269972,2012-08-18,4,1,4,161,67.62,711.62,Flagship store
11411,63819255286,274358,2012-08-18,11,6,4,179,75.18,791.18,e-Shop
11412,50221143808,268292,2012-08-17,1,2,5,546,286.65,3016.65,MBR
11416,55908020302,269447,2012-08-17,3,1,4,884,371.28,3907.28,Flagship store
11428,67898417311,272326,2012-08-17,7,5,1,172,18.06,190.06,Flagship store
11432,87841299654,272729,2012-08-17,4,1,4,1125,472.5,4972.5,e-Shop
11442,19395228248,271492,2012-08-16,4,3,2,109,22.89,240.89,TeleShop
11463,68573993577,268701,2012-08-15,7,5,4,648,272.16,2864.16,MBR
11464,94454312135,274546,2012-08-15,3,5,1,79,8.295,87.295,e-Shop
11466,97549629512,270257,2012-08-15,9,3,1,519,54.495,573.495,MBR
11485,55285609101,271406,2012-08-13,11,5,2,598,125.58,1321.58,TeleShop
11487,10298680937,271455,2012-08-13,4,4,2,890,186.9,1966.9,Flagship store
11496,80526764159,268915,2012-08-13,4,2,4,1414,593.88,6249.88,Flagship store
11505,45897270896,267696,2012-12-08,10,6,2,256,53.76,565.76,TeleShop
11509,41880841458,269674,2012-12-08,4,3,3,451,142.065,1495.065,e-Shop
11513,87862139112,273278,2012-12-08,9,3,1,585,61.425,646.425,MBR
11527,84634445198,268081,2012-11-08,11,6,3,675,212.625,2237.625,TeleShop
11528,73916403003,268688,2012-11-08,2,6,4,195,81.9,861.9,e-Shop
11536,3900104821,270303,2012-10-08,3,1,3,1187,373.905,3934.905,TeleShop
11596,95361895943,272655,2012-08-08,5,3,3,523,164.745,1733.745,e-Shop
11597,48212462078,271823,2012-07-08,1,4,3,265,83.475,878.475,Flagship store
11600,33384854709,270861,2012-07-08,7,5,1,1334,140.07,1474.07,e-Shop
11604,82594302114,272535,2012-07-08,6,5,3,405,127.575,1342.575,Flagship store
11610,36417526619,271764,2012-06-08,2,6,2,87,18.27,192.27,e-Shop
11646,75194578613,274540,2012-05-08,10,3,5,1051,551.775,5806.775,e-Shop
11647,56587558610,267016,2012-04-08,10,6,4,807,338.94,3566.94,e-Shop
11654,22302198093,266939,2012-04-08,7,5,4,1412,593.04,6241.04,e-Shop
11660,82417326414,271098,2012-04-08,4,1,1,919,96.495,1015.495,MBR
11661,66810078869,271613,2012-04-08,1,2,5,138,72.45,762.45,Flagship store
11663,77014011430,270143,2012-04-08,4,3,3,613,193.095,2032.095,TeleShop
11668,8921472953,274017,2012-03-08,7,5,2,152,31.92,335.92,MBR
11677,43298045186,272186,2012-03-08,3,1,1,1449,152.145,1601.145,TeleShop
11679,8827657675,272653,2012-03-08,8,3,1,360,37.8,397.8,MBR
11687,16615831315,267103,2012-02-08,2,6,2,1297,272.37,2866.37,TeleShop
11688,55274881604,269968,2012-02-08,7,5,5,609,319.725,3364.725,MBR
11695,60057467456,268521,2012-02-08,11,6,2,775,162.75,1712.75,e-Shop
11704,83701318244,269925,2012-02-08,4,2,4,817,343.14,3611.14,e-Shop
11729,53711955912,269913,2012-07-31,2,6,3,844,265.86,2797.86,e-Shop
11730,45975085761,270677,2012-07-31,1,1,4,192,80.64,848.64,e-Shop
11742,25473869412,271158,2012-07-30,2,6,3,741,233.415,2456.415,MBR
11760,97103164882,274294,2012-07-30,11,6,4,82,34.44,362.44,e-Shop
11772,48654605372,272436,2012-07-29,7,5,1,426,44.73,470.73,MBR
11779,85851745806,272017,2012-07-29,11,5,4,1122,471.24,4959.24,MBR
11784,30208947273,272920,2012-07-28,1,1,4,773,324.66,3416.66,TeleShop
11794,85223375726,274876,2012-07-28,12,5,1,431,45.255,476.255,e-Shop
